group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
os 16x up down,,,,,1036250.0,ns,67
os 16x up down,,,,,2119583.0,ns,134
os 16x up down,,,,,3101875.0,ns,201
os 16x up down,,,,,4054584.0,ns,268
os 16x up down,,,,,4996541.0,ns,335
os 16x up down,,,,,6014500.0,ns,402
os 16x up down,,,,,7030125.0,ns,469
os 16x up down,,,,,7996292.0,ns,536
os 16x up down,,,,,9033375.0,ns,603
os 16x up down,,,,,9985459.0,ns,670
os 16x up down,,,,,11003667.0,ns,737
os 16x up down,,,,,11993917.0,ns,804
os 16x up down,,,,,13008708.0,ns,871
os 16x up down,,,,,13979875.0,ns,938
os 16x up down,,,,,14988708.0,ns,1005
os 16x up down,,,,,15979875.0,ns,1072
os 16x up down,,,,,17002958.0,ns,1139
os 16x up down,,,,,17970916.0,ns,1206
os 16x up down,,,,,19015208.0,ns,1273
os 16x up down,,,,,20058209.0,ns,1340
os 16x up down,,,,,21046667.0,ns,1407
os 16x up down,,,,,21994834.0,ns,1474
os 16x up down,,,,,23073500.0,ns,1541
os 16x up down,,,,,24001584.0,ns,1608
os 16x up down,,,,,24969083.0,ns,1675
os 16x up down,,,,,26014208.0,ns,1742
os 16x up down,,,,,26967459.0,ns,1809
os 16x up down,,,,,27960250.0,ns,1876
os 16x up down,,,,,29008459.0,ns,1943
os 16x up down,,,,,30014375.0,ns,2010
os 16x up down,,,,,30993750.0,ns,2077
os 16x up down,,,,,31954666.0,ns,2144
os 16x up down,,,,,33130208.0,ns,2211
os 16x up down,,,,,33963375.0,ns,2278
os 16x up down,,,,,34968291.0,ns,2345
os 16x up down,,,,,36026500.0,ns,2412
os 16x up down,,,,,36944458.0,ns,2479
os 16x up down,,,,,38103083.0,ns,2546
os 16x up down,,,,,39072833.0,ns,2613
os 16x up down,,,,,39994042.0,ns,2680
os 16x up down,,,,,40973000.0,ns,2747
os 16x up down,,,,,42000000.0,ns,2814
os 16x up down,,,,,42972500.0,ns,2881
os 16x up down,,,,,43998917.0,ns,2948
os 16x up down,,,,,44954209.0,ns,3015
os 16x up down,,,,,46017000.0,ns,3082
os 16x up down,,,,,46960792.0,ns,3149
os 16x up down,,,,,47946375.0,ns,3216
os 16x up down,,,,,49087916.0,ns,3283
os 16x up down,,,,,50034292.0,ns,3350
os 16x up down,,,,,50972583.0,ns,3417
os 16x up down,,,,,52006541.0,ns,3484
os 16x up down,,,,,52977208.0,ns,3551
os 16x up down,,,,,54009875.0,ns,3618
os 16x up down,,,,,54943875.0,ns,3685
os 16x up down,,,,,55970958.0,ns,3752
os 16x up down,,,,,56961958.0,ns,3819
os 16x up down,,,,,58043083.0,ns,3886
os 16x up down,,,,,59000709.0,ns,3953
os 16x up down,,,,,60077958.0,ns,4020
os 16x up down,,,,,60986291.0,ns,4087
os 16x up down,,,,,61985416.0,ns,4154
os 16x up down,,,,,62955667.0,ns,4221
os 16x up down,,,,,64023125.0,ns,4288
os 16x up down,,,,,64984292.0,ns,4355
os 16x up down,,,,,65955834.0,ns,4422
os 16x up down,,,,,67117083.0,ns,4489
os 16x up down,,,,,67975583.0,ns,4556
os 16x up down,,,,,68934875.0,ns,4623
os 16x up down,,,,,70011625.0,ns,4690
os 16x up down,,,,,71171792.0,ns,4757
os 16x up down,,,,,71950334.0,ns,4824
os 16x up down,,,,,72959917.0,ns,4891
os 16x up down,,,,,74158125.0,ns,4958
os 16x up down,,,,,74966666.0,ns,5025
os 16x up down,,,,,76032291.0,ns,5092
os 16x up down,,,,,76962291.0,ns,5159
os 16x up down,,,,,78022625.0,ns,5226
os 16x up down,,,,,78924417.0,ns,5293
os 16x up down,,,,,80065500.0,ns,5360
os 16x up down,,,,,81058125.0,ns,5427
os 16x up down,,,,,82049125.0,ns,5494
os 16x up down,,,,,82978167.0,ns,5561
os 16x up down,,,,,83958125.0,ns,5628
os 16x up down,,,,,84935459.0,ns,5695
os 16x up down,,,,,86070708.0,ns,5762
os 16x up down,,,,,87049041.0,ns,5829
os 16x up down,,,,,87945583.0,ns,5896
os 16x up down,,,,,88979625.0,ns,5963
os 16x up down,,,,,89987375.0,ns,6030
os 16x up down,,,,,90984500.0,ns,6097
os 16x up down,,,,,92129625.0,ns,6164
os 16x up down,,,,,93029083.0,ns,6231
os 16x up down,,,,,93969542.0,ns,6298
os 16x up down,,,,,94999084.0,ns,6365
os 16x up down,,,,,95941875.0,ns,6432
os 16x up down,,,,,97120584.0,ns,6499
os 16x up down,,,,,98194458.0,ns,6566
os 16x up down,,,,,99042208.0,ns,6633
os 16x up down,,,,,100025041.0,ns,6700
