group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
os 2x up down,,,,,1022333.0,ns,984
os 2x up down,,,,,2081333.0,ns,1968
os 2x up down,,,,,3051583.0,ns,2952
os 2x up down,,,,,4014209.0,ns,3936
os 2x up down,,,,,4973208.0,ns,4920
os 2x up down,,,,,5964916.0,ns,5904
os 2x up down,,,,,6956375.0,ns,6888
os 2x up down,,,,,7932084.0,ns,7872
os 2x up down,,,,,8884750.0,ns,8856
os 2x up down,,,,,9870292.0,ns,9840
os 2x up down,,,,,10866708.0,ns,10824
os 2x up down,,,,,11853750.0,ns,11808
os 2x up down,,,,,12821958.0,ns,12792
os 2x up down,,,,,13818875.0,ns,13776
os 2x up down,,,,,14819625.0,ns,14760
os 2x up down,,,,,15763084.0,ns,15744
os 2x up down,,,,,16761875.0,ns,16728
os 2x up down,,,,,17768625.0,ns,17712
os 2x up down,,,,,18738958.0,ns,18696
os 2x up down,,,,,19701583.0,ns,19680
os 2x up down,,,,,20718500.0,ns,20664
os 2x up down,,,,,21719041.0,ns,21648
os 2x up down,,,,,22675542.0,ns,22632
os 2x up down,,,,,23696875.0,ns,23616
os 2x up down,,,,,24671209.0,ns,24600
os 2x up down,,,,,25627250.0,ns,25584
os 2x up down,,,,,26624709.0,ns,26568
os 2x up down,,,,,27890167.0,ns,27552
os 2x up down,,,,,28733542.0,ns,28536
os 2x up down,,,,,29722458.0,ns,29520
os 2x up down,,,,,30648167.0,ns,30504
os 2x up down,,,,,31540292.0,ns,31488
os 2x up down,,,,,32798875.0,ns,32472
os 2x up down,,,,,33807000.0,ns,33456
os 2x up down,,,,,34782875.0,ns,34440
os 2x up down,,,,,35781708.0,ns,35424
os 2x up down,,,,,36718709.0,ns,36408
os 2x up down,,,,,37699500.0,ns,37392
os 2x up down,,,,,38729084.0,ns,38376
os 2x up down,,,,,39678958.0,ns,39360
os 2x up down,,,,,40656500.0,ns,40344
os 2x up down,,,,,41616833.0,ns,41328
os 2x up down,,,,,42734291.0,ns,42312
os 2x up down,,,,,43660208.0,ns,43296
os 2x up down,,,,,44669041.0,ns,44280
os 2x up down,,,,,45669833.0,ns,45264
os 2x up down,,,,,46657917.0,ns,46248
os 2x up down,,,,,47616834.0,ns,47232
os 2x up down,,,,,48589125.0,ns,48216
os 2x up down,,,,,49599042.0,ns,49200
os 2x up down,,,,,50592500.0,ns,50184
os 2x up down,,,,,51583250.0,ns,51168
os 2x up down,,,,,52597167.0,ns,52152
os 2x up down,,,,,53345459.0,ns,53136
os 2x up down,,,,,54305125.0,ns,54120
os 2x up down,,,,,55452417.0,ns,55104
os 2x up down,,,,,56673916.0,ns,56088
os 2x up down,,,,,57535833.0,ns,57072
os 2x up down,,,,,58587709.0,ns,58056
os 2x up down,,,,,59606917.0,ns,59040
os 2x up down,,,,,60525875.0,ns,60024
os 2x up down,,,,,61712417.0,ns,61008
os 2x up down,,,,,62403625.0,ns,61992
os 2x up down,,,,,63180250.0,ns,62976
os 2x up down,,,,,64164083.0,ns,63960
os 2x up down,,,,,65099208.0,ns,64944
os 2x up down,,,,,66069875.0,ns,65928
os 2x up down,,,,,67101833.0,ns,66912
os 2x up down,,,,,68154750.0,ns,67896
os 2x up down,,,,,69143666.0,ns,68880
os 2x up down,,,,,70577250.0,ns,69864
os 2x up down,,,,,71467000.0,ns,70848
os 2x up down,,,,,72446292.0,ns,71832
os 2x up down,,,,,73519334.0,ns,72816
os 2x up down,,,,,74462500.0,ns,73800
os 2x up down,,,,,75619000.0,ns,74784
os 2x up down,,,,,76476667.0,ns,75768
os 2x up down,,,,,77451250.0,ns,76752
os 2x up down,,,,,78538542.0,ns,77736
os 2x up down,,,,,79470375.0,ns,78720
os 2x up down,,,,,79941291.0,ns,79704
os 2x up down,,,,,80905875.0,ns,80688
os 2x up down,,,,,82718417.0,ns,81672
os 2x up down,,,,,82911250.0,ns,82656
os 2x up down,,,,,83936375.0,ns,83640
os 2x up down,,,,,85100333.0,ns,84624
os 2x up down,,,,,86331333.0,ns,85608
os 2x up down,,,,,87338125.0,ns,86592
os 2x up down,,,,,88492875.0,ns,87576
os 2x up down,,,,,89355083.0,ns,88560
os 2x up down,,,,,90363208.0,ns,89544
os 2x up down,,,,,91234292.0,ns,90528
os 2x up down,,,,,92322584.0,ns,91512
os 2x up down,,,,,93493208.0,ns,92496
os 2x up down,,,,,93857625.0,ns,93480
os 2x up down,,,,,95361875.0,ns,94464
os 2x up down,,,,,96349833.0,ns,95448
os 2x up down,,,,,97168084.0,ns,96432
os 2x up down,,,,,98122500.0,ns,97416
os 2x up down,,,,,98888375.0,ns,98400
